,open,high,low,close
2018-04-03 22:00:00,81.932,81.956,81.842,81.854
2018-04-03 23:00:00,81.857,81.891,81.752,81.764
2018-04-04 00:00:00,81.767,81.950,81.744,81.899
2018-04-04 01:00:00,81.901,82.036,81.784,82.034
2018-04-04 02:00:00,82.032,82.190,82.022,82.076
2018-04-04 03:00:00,82.078,82.158,82.044,82.149
2018-04-04 04:00:00,82.151,82.188,82.108,82.113
2018-04-04 05:00:00,82.116,82.116,81.974,82.040
2018-04-04 06:00:00,82.038,82.058,81.944,82.046
2018-04-04 07:00:00,82.044,82.044,81.514,81.528
2018-04-04 08:00:00,81.530,81.560,81.268,81.536
2018-04-04 09:00:00,81.533,81.560,81.398,81.428
2018-04-04 10:00:00,81.426,81.498,81.255,81.450
2018-04-04 11:00:00,81.452,81.642,81.448,81.552
2018-04-04 12:00:00,81.554,81.720,81.456,81.636
2018-04-04 13:00:00,81.634,81.863,81.604,81.782
2018-04-04 14:00:00,81.784,82.075,81.729,82.053
2018-04-04 15:00:00,82.055,82.158,81.890,82.062
2018-04-04 16:00:00,82.064,82.218,82.018,82.151
2018-04-04 17:00:00,82.154,82.158,81.952,82.071
2018-04-04 18:00:00,82.073,82.327,82.058,82.262
2018-04-04 19:00:00,82.260,82.462,82.216,82.408
2018-04-04 20:00:00,82.404,82.441,82.376,82.398
2018-04-04 21:00:00,82.386,82.408,82.342,82.388
2018-04-04 22:00:00,82.385,82.501,82.378,82.485
2018-04-04 23:00:00,82.488,82.496,82.375,82.446
2018-04-05 00:00:00,82.444,82.518,82.286,82.470
2018-04-05 01:00:00,82.468,82.468,82.300,82.462
2018-04-05 02:00:00,82.459,82.534,82.396,82.430
2018-04-05 03:00:00,82.433,82.440,82.294,82.358
2018-04-05 04:00:00,82.356,82.384,82.212,82.256
2018-04-05 05:00:00,82.254,82.287,82.130,82.212
2018-04-05 06:00:00,82.210,82.396,82.170,82.378
2018-04-05 07:00:00,82.382,82.464,82.302,82.321
2018-04-05 08:00:00,82.318,82.382,82.290,82.290
2018-04-05 09:00:00,82.292,82.300,82.158,82.240
2018-04-05 10:00:00,82.243,82.260,82.189,82.252
2018-04-05 11:00:00,82.254,82.377,82.236,82.258
2018-04-05 12:00:00,82.260,82.354,82.250,82.272
2018-04-05 13:00:00,82.270,82.414,82.262,82.414
2018-04-05 14:00:00,82.412,82.594,82.374,82.586
2018-04-05 15:00:00,82.588,82.632,82.492,82.624
2018-04-05 16:00:00,82.622,82.650,82.471,82.514
2018-04-05 17:00:00,82.516,82.580,82.382,82.471
2018-04-05 18:00:00,82.474,82.586,82.466,82.548
